projet DMX;Projet de programmation DMX;./images/projets/stage1/scene-rouge.webp;projetimg dev;Programmation de scène en dmx via grand MA3;projet.php?id=5;;;;;
Portfolio;Projet de création d'un portfolio uniquement en html/css;./images/projets/earth-bg.jpg;projetimg troisd;Réalisation du portfolio sur lequel vous naviguez actuellement;projet.php?id=4;;;./images/stickers.png;stickers clique sur l'image;
Metahuman1; Lien vers le projet metahuman1 ;./images/projets/metahuman1/head1.webp;projetimg troisd;Réalisation d'un Metahuman grâce aux logiciels d'unreal engine 5;projet.php?id=3;;;./images/stickers.png;stickers clique sur l'image;
Clip NxG; Lien vers le projet Clip NxG;./images/projets/clip-nxg/clip-nxg-minia.JPG;projetimg video;Réalisation du montage d'un clip dans le cadre d'un concours.;projet.php?id=2;;;;;
Design Logo; Lien vers le projet Clip NxG;./images/projets/logo-design/the-som.webp;projetimg troisd;Création de différents logo de marques fictives dans le but de s'entraîner.;projet.php?id=1;;;;;
